Date,sensor0X,sensor0Y,sensor0Z,sensor1X,sensor1Y,sensor1Z,sensor2X,sensor2Y,sensor2Z,sensor3X,sensor3Y,sensor3Z,sensor4X,sensor4Y,sensor4Z,sensor5X,sensor5Y,sensor5Z,sensor6X,sensor6Y,sensor6Z,sensor7X,sensor7Y,sensor7Z
2022-6-20 17:44:24.508,-9.45,0.01,-0.01,9.54,-0.03,-0.39,9.57,0.42,-0.15,9.59,0.04,-0.37,9.67,0.02,-0.35,-9.64,-0.56,0.12,9.54,-0.59,-0.25,9.67,-0.14,-0.26
2022-6-20 17:44:24.544,-9.43,0.01,-0.02,9.54,0.0,-0.37,9.57,0.41,-0.15,9.59,0.04,-0.38,9.66,0.01,-0.36,-9.64,-0.56,0.09,9.56,-0.59,-0.24,9.68,-0.15,-0.28
2022-6-20 17:44:24.566,-9.43,0.02,-0.04,9.55,0.0,-0.42,9.59,0.43,-0.16,9.6,0.02,-0.35,9.68,0.02,-0.38,-9.65,-0.56,0.09,9.53,-0.59,-0.25,9.71,-0.16,-0.3
2022-6-20 17:44:24.603,-9.44,0.03,-0.01,9.56,-0.03,-0.41,9.58,0.43,-0.14,9.59,0.02,-0.34,9.66,0.04,-0.36,-9.63,-0.58,0.09,9.56,-0.59,-0.27,9.7,-0.16,-0.28
2022-6-20 17:44:24.641,-9.43,0.01,-0.04,9.55,-0.05,-0.38,9.55,0.43,-0.14,9.58,0.0,-0.35,9.67,0.04,-0.34,-9.65,-0.56,0.11,9.54,-0.58,-0.23,9.7,-0.17,-0.28
2022-6-20 17:44:24.664,-9.45,0.03,0.0,9.55,-0.01,-0.36,9.56,0.43,-0.16,9.59,0.03,-0.37,9.67,0.02,-0.35,-9.65,-0.56,0.12,9.55,-0.58,-0.27,9.69,-0.17,-0.28
2022-6-20 17:44:24.705,-9.43,0.02,-0.01,9.55,-0.03,-0.37,9.56,0.43,-0.15,9.6,0.01,-0.36,9.66,0.04,-0.36,-9.64,-0.56,0.12,9.54,-0.58,-0.27,9.69,-0.17,-0.28
2022-6-20 17:44:24.742,-9.45,0.03,-0.01,9.53,-0.03,-0.39,9.56,0.44,-0.15,9.59,0.01,-0.35,9.69,0.0,-0.34,-9.63,-0.56,0.11,9.54,-0.57,-0.23,9.69,-0.15,-0.24
2022-6-20 17:44:24.766,-9.45,0.02,-0.03,9.55,-0.02,-0.39,9.55,0.45,-0.15,9.59,0.04,-0.36,9.67,0.02,-0.38,-9.64,-0.56,0.11,9.54,-0.58,-0.26,9.68,-0.18,-0.3
2022-6-20 17:44:24.804,-9.46,0.01,-0.01,9.55,-0.05,-0.39,9.56,0.42,-0.14,9.6,0.03,-0.33,9.68,0.02,-0.37,-9.64,-0.57,0.09,9.54,-0.58,-0.24,9.67,-0.17,-0.27
2022-6-20 17:44:24.844,-9.44,0.0,-0.01,9.52,-0.04,-0.39,9.56,0.42,-0.15,9.58,0.03,-0.36,9.7,0.03,-0.34,-9.64,-0.57,0.1,9.56,-0.61,-0.26,9.69,-0.16,-0.3
2022-6-20 17:44:24.864,-9.43,0.01,-0.01,9.54,-0.01,-0.41,9.56,0.44,-0.15,9.59,0.02,-0.38,9.68,0.04,-0.39,-9.64,-0.56,0.13,9.54,-0.58,-0.27,9.71,-0.14,-0.28
2022-6-20 17:44:24.906,-9.45,0.04,-0.01,9.54,0.0,-0.39,9.58,0.41,-0.15,9.57,0.02,-0.35,9.68,0.01,-0.35,-9.63,-0.56,0.1,9.54,-0.57,-0.26,9.7,-0.14,-0.27
2022-6-20 17:44:24.942,-9.44,0.01,-0.01,9.55,-0.02,-0.39,9.55,0.44,-0.13,9.58,0.01,-0.37,9.68,0.02,-0.37,-9.65,-0.55,0.09,9.54,-0.59,-0.24,9.67,-0.15,-0.3
2022-6-20 17:44:24.969,-9.43,0.01,-0.04,9.52,-0.01,-0.39,9.58,0.44,-0.15,9.61,0.0,-0.39,9.66,0.02,-0.38,-9.65,-0.56,0.11,9.54,-0.57,-0.25,9.67,-0.15,-0.31
2022-6-20 17:44:25.001,-9.43,0.04,-0.02,9.53,-0.01,-0.41,9.58,0.42,-0.16,9.59,0.03,-0.35,9.67,0.01,-0.36,-9.64,-0.56,0.11,9.54,-0.6,-0.25,9.7,-0.15,-0.29
2022-6-20 17:44:25.041,-9.44,0.03,0.0,9.54,0.0,-0.38,9.57,0.43,-0.15,9.59,0.04,-0.35,9.7,0.0,-0.34,-9.63,-0.56,0.11,9.51,-0.6,-0.25,9.68,-0.16,-0.31
2022-6-20 17:44:25.065,-9.43,0.03,0.0,9.55,-0.03,-0.4,9.55,0.44,-0.14,9.61,0.03,-0.36,9.65,0.01,-0.37,-9.65,-0.56,0.11,9.53,-0.59,-0.25,9.69,-0.14,-0.3
2022-6-20 17:44:25.103,-9.45,0.05,-0.02,9.53,-0.03,-0.42,9.58,0.42,-0.16,9.6,0.01,-0.37,9.71,0.01,-0.34,-9.63,-0.57,0.12,9.54,-0.6,-0.26,9.69,-0.16,-0.27
2022-6-20 17:44:25.139,-9.43,0.02,-0.01,9.54,-0.02,-0.37,9.56,0.43,-0.14,9.6,0.02,-0.36,9.7,0.02,-0.37,-9.63,-0.57,0.11,9.53,-0.59,-0.26,9.68,-0.15,-0.29
2022-6-20 17:44:25.164,-9.43,0.05,0.0,9.52,-0.02,-0.41,9.58,0.43,-0.17,9.6,0.02,-0.35,9.66,0.02,-0.41,-9.63,-0.56,0.11,9.52,-0.59,-0.25,9.69,-0.16,-0.3
2022-6-20 17:44:25.201,-9.45,0.01,-0.01,9.54,-0.02,-0.38,9.56,0.43,-0.14,9.59,0.02,-0.33,9.68,0.02,-0.35,-9.65,-0.56,0.12,9.54,-0.6,-0.24,9.69,-0.15,-0.28
2022-6-20 17:44:25.239,-9.44,0.02,-0.03,9.54,-0.02,-0.39,9.56,0.42,-0.14,9.6,0.04,-0.37,9.67,0.01,-0.35,-9.65,-0.56,0.09,9.53,-0.59,-0.25,9.68,-0.17,-0.31
2022-6-20 17:44:25.263,-9.44,0.02,-0.02,9.53,-0.02,-0.37,9.56,0.42,-0.14,9.6,0.02,-0.35,9.7,0.01,-0.39,-9.64,-0.56,0.1,9.54,-0.58,-0.26,9.7,-0.16,-0.29
2022-6-20 17:44:25.302,-9.43,0.02,-0.02,9.55,-0.04,-0.4,9.57,0.43,-0.15,9.59,0.02,-0.36,9.68,0.02,-0.37,-9.67,-0.56,0.1,9.55,-0.58,-0.27,9.69,-0.16,-0.28
2022-6-20 17:44:25.340,-9.44,0.0,-0.01,9.52,-0.01,-0.39,9.57,0.43,-0.14,9.6,0.04,-0.38,9.66,0.01,-0.35,-9.64,-0.55,0.15,9.54,-0.58,-0.23,9.69,-0.16,-0.28
2022-6-20 17:44:25.360,-9.44,0.0,0.0,9.53,-0.04,-0.39,9.57,0.44,-0.15,9.61,0.03,-0.35,9.67,0.02,-0.38,-9.63,-0.55,0.1,9.55,-0.59,-0.27,9.69,-0.15,-0.29
2022-6-20 17:44:25.401,-9.44,0.01,-0.02,9.55,-0.03,-0.39,9.56,0.43,-0.14,9.6,0.01,-0.34,9.67,0.03,-0.35,-9.65,-0.56,0.13,9.55,-0.58,-0.26,9.69,-0.16,-0.29
2022-6-20 17:44:25.439,-9.45,0.01,-0.02,9.53,-0.02,-0.4,9.57,0.43,-0.14,9.61,0.0,-0.36,9.67,0.04,-0.35,-9.63,-0.58,0.11,9.53,-0.58,-0.25,9.69,-0.16,-0.32
2022-6-20 17:44:25.462,-9.46,0.03,-0.04,9.55,-0.03,-0.38,9.57,0.41,-0.17,9.6,0.0,-0.36,9.68,0.03,-0.39,-9.64,-0.57,0.12,9.54,-0.59,-0.25,9.68,-0.16,-0.27
2022-6-20 17:44:25.501,-9.45,0.01,-0.02,9.53,-0.02,-0.39,9.59,0.42,-0.16,9.59,0.01,-0.37,9.67,0.02,-0.33,-9.64,-0.56,0.12,9.55,-0.58,-0.24,9.69,-0.15,-0.31
2022-6-20 17:44:25.539,-9.44,0.0,-0.02,9.54,-0.02,-0.39,9.56,0.42,-0.15,9.59,0.01,-0.34,9.66,0.04,-0.36,-9.62,-0.57,0.11,9.55,-0.56,-0.27,9.68,-0.16,-0.3
2022-6-20 17:44:25.562,-9.44,0.03,-0.03,9.53,-0.02,-0.4,9.55,0.42,-0.17,9.59,0.03,-0.36,9.66,0.04,-0.38,-9.65,-0.55,0.1,9.55,-0.58,-0.26,9.69,-0.14,-0.29
2022-6-20 17:44:25.602,-9.45,0.03,-0.03,9.55,-0.04,-0.37,9.57,0.43,-0.15,9.59,0.02,-0.33,9.68,0.02,-0.36,-9.65,-0.56,0.12,9.54,-0.61,-0.25,9.68,-0.15,-0.28
2022-6-20 17:44:25.638,-9.44,0.01,-0.02,9.51,-0.03,-0.37,9.58,0.43,-0.14,9.61,0.01,-0.35,9.66,0.03,-0.35,-9.65,-0.56,0.1,9.54,-0.59,-0.25,9.68,-0.15,-0.26
2022-6-20 17:44:25.676,-9.44,0.01,-0.02,9.53,-0.02,-0.41,9.57,0.42,-0.14,9.6,0.03,-0.34,9.69,0.01,-0.36,-9.66,-0.55,0.1,9.53,-0.58,-0.27,9.69,-0.16,-0.29
2022-6-20 17:44:25.697,-9.43,0.04,-0.01,9.53,-0.04,-0.39,9.57,0.43,-0.14,9.59,0.02,-0.36,9.67,0.03,-0.36,-9.66,-0.56,0.11,9.53,-0.6,-0.26,9.69,-0.15,-0.27
2022-6-20 17:44:25.733,-9.41,0.02,0.0,9.53,-0.03,-0.39,9.57,0.42,-0.14,9.58,0.03,-0.33,9.67,0.01,-0.36,-9.64,-0.57,0.1,9.54,-0.58,-0.26,9.66,-0.15,-0.27
2022-6-20 17:44:25.775,-9.44,0.0,-0.02,9.53,-0.01,-0.4,9.57,0.42,-0.17,9.61,0.03,-0.37,9.67,0.02,-0.38,-9.63,-0.56,0.12,9.53,-0.59,-0.27,9.7,-0.13,-0.29
2022-6-20 17:44:25.795,-9.43,0.01,0.0,9.54,-0.01,-0.41,9.55,0.43,-0.15,9.59,0.03,-0.33,9.68,0.04,-0.33,-9.67,-0.57,0.13,9.55,-0.56,-0.22,9.67,-0.17,-0.29
2022-6-20 17:44:25.832,-9.42,0.02,0.0,9.53,-0.02,-0.4,9.57,0.43,-0.14,9.61,0.02,-0.34,9.68,0.04,-0.36,-9.64,-0.57,0.09,9.54,-0.6,-0.26,9.68,-0.16,-0.27
2022-6-20 17:44:25.869,-9.44,0.01,-0.01,9.54,-0.03,-0.42,9.57,0.45,-0.15,9.61,0.02,-0.38,9.67,0.02,-0.36,-9.64,-0.56,0.1,9.53,-0.59,-0.26,9.68,-0.15,-0.29
2022-6-20 17:44:25.905,-9.44,0.02,-0.02,9.54,-0.03,-0.42,9.54,0.44,-0.15,9.6,-0.01,-0.33,9.66,0.02,-0.36,-9.66,-0.58,0.1,9.54,-0.59,-0.24,9.68,-0.15,-0.28
2022-6-20 17:44:25.929,-9.45,0.0,0.0,9.52,-0.02,-0.43,9.59,0.44,-0.14,9.58,0.04,-0.35,9.66,0.02,-0.38,-9.64,-0.57,0.11,9.54,-0.58,-0.27,9.68,-0.14,-0.3
2022-6-20 17:44:25.967,-9.44,0.03,-0.01,9.53,-0.02,-0.41,9.57,0.44,-0.16,9.59,0.02,-0.39,9.7,0.03,-0.38,-9.62,-0.56,0.11,9.53,-0.59,-0.26,9.69,-0.16,-0.31
2022-6-20 17:44:26.000,-9.44,0.02,-0.02,9.55,-0.02,-0.4,9.57,0.43,-0.15,9.62,0.02,-0.35,9.65,0.02,-0.36,-9.66,-0.57,0.12,9.54,-0.58,-0.26,9.67,-0.15,-0.31
2022-6-20 17:44:26.038,-9.45,0.0,-0.04,9.55,-0.03,-0.37,9.55,0.42,-0.14,9.59,0.04,-0.36,9.68,0.02,-0.33,-9.65,-0.57,0.11,9.56,-0.58,-0.24,9.7,-0.14,-0.28
2022-6-20 17:44:26.058,-9.44,0.03,-0.04,9.54,-0.03,-0.4,9.57,0.42,-0.14,9.6,0.04,-0.37,9.68,0.03,-0.36,-9.64,-0.56,0.11,9.54,-0.58,-0.25,9.69,-0.15,-0.29
2022-6-20 17:44:26.095,-9.45,0.01,-0.02,9.55,-0.01,-0.37,9.58,0.42,-0.15,9.6,0.04,-0.33,9.67,0.03,-0.35,-9.64,-0.56,0.1,9.54,-0.57,-0.23,9.69,-0.17,-0.25
2022-6-20 17:44:26.132,-9.46,0.04,-0.01,9.54,-0.04,-0.4,9.55,0.43,-0.14,9.59,0.02,-0.36,9.68,0.01,-0.33,-9.64,-0.57,0.1,9.54,-0.57,-0.27,9.67,-0.17,-0.28
